ticker,source_index,geo
AGNCP,nasdaq,US
AGNCZ,nasdaq,US
AGO,nyse,US
AGR.L,ftse250,EU
AGRO,nyse,US
AGS.BR,bel20,EU
AGT.L,ftse250,EU
AGX,nyse,US
AGYS,nasdaq,US
AH.AS,aex,EU
AHCO,nasdaq,US
AHH,nyse,US
AHR,nyse,US
AHT.L,ftse100,EU
AI,nyse,US
AI.PA,cac40,EU
AIG,nyse,US
AII,nyse,US
AIN,nyse,US
AIO,nyse,US
AIP,nasdaq,US
AIR,nyse,US
AIR.PA,dax,EU
AIRO,nasdaq,US
AIT,nyse,US
AIV,nyse,US
AIZ,nyse,US
AJB.L,ftse250,EU
AJG,nyse,US
AKAM,nasdaq,US
AKER.OL,obx,EU
AKR,nyse,US
AKRBP.OL,obx,EU
AKTS,nasdaq,US
AKZA.AS,aex,EU
AL,nyse,US
ALAB,nasdaq,US
ALB,nyse,US
ALC,nyse,US
ALCO,nasdaq,US
ALDX,nasdaq,US
ALE.WA,wig20,EU
ALEX,nyse,US
ALFA.ST,omxs30,EU
ALG,nyse,US
ALGM,nasdaq,US
ALGN,nasdaq,US
ALGT,nasdaq,US
ALH,nyse,US
ALHC,nasdaq,US
ALK,nyse,US
ALKS,nasdaq,US
ALKT,nasdaq,US
ALL,nyse,US
ALLE,nyse,US
ALLY,nyse,US
ALM,nasdaq,US
ALMS,nasdaq,US
ALNT,nasdaq,US
ALNY,nasdaq,US
ALO.PA,cac40,EU
ALR.WA,wig20,EU
ALRM,nasdaq,US
ALRS,nasdaq,US
ALSN,nyse,US
ALV,nyse,US
ALV.DE,dax,EU
ALX,nyse,US
AM,nyse,US
AMAL,nasdaq,US
AMAT,nasdaq,US
AMBA,nasdaq,US
AMBQ,nyse,US
AMBU-B.CO,omxc25,EU
AMCR,nyse,US
AMCX,nasdaq,US
AMD,nasdaq,US
AME,nyse,US
AMG,nyse,US
AMGN,nasdaq,US
AMH,nyse,US
AMKR,nasdaq,US
AMLX,nasdaq,US
AMN,nyse,US
AMP,nyse,US
AMP.MI,ftsemib,EU
AMPH,nasdaq,US
AMPL,nasdaq,US
AMPX,nyse,US
AMR,nyse,US
AMRC,nyse,US
AMRX,nasdaq,US
AMRZ,nyse,US
AMS.MC,ibex35,EU
AMS.VI,atx,EU
AMSC,nasdaq,US
AMSF,nasdaq,US
AMT,nyse,US
AMTB,nyse,US
AMTM,nyse,US
AMWD,nasdaq,US
AMZN,nasdaq,US
AN,nyse,US
ANA.MC,ibex35,EU
ANAB,nasdaq,US
ANDE,nasdaq,US
ANDG,nyse,US
ANDR.VI,atx,EU
ANET,nyse,US
ANF,nyse,US
ANGI,nasdaq,US
ANGO,nasdaq,US
ANIP,nasdaq,US
ANL,nasdaq,US
ANNX,nasdaq,US
ANRO,nyse,US
ANTO.L,ftse100,EU
AON,nyse,US
AORT,nyse,US
AOS,nyse,US
AOSL,nasdaq,US
APA,nasdaq,US
APAM,nyse,US
APAM.BR,bel20,EU
APC,nasdaq,US
APD,nyse,US
APEI,nasdaq,US
APG,nyse,US
APGE,nasdaq,US
APH,nyse,US
APLD,nasdaq,US
APLE,nyse,US
APLS,nasdaq,US
APO,nyse,US
APOG,nasdaq,US
APP,nasdaq,US
APPF,nasdaq,US
APPN,nasdaq,US
APTV,nyse,US
AQN,nyse,US
AR,nyse,US
ARCB,nasdaq,US
ARCC,nasdaq,US
ARCO,nyse,US
ARDT,nyse,US
ARDX,nasdaq,US
ARE,nyse,US
ARES,nyse,US
ARGX,nasdaq,US
ARHS,nasdaq,US
ARI,nyse,US
ARIS,nyse,US
ARKO,nasdaq,US
ARLO,nyse,US
ARM,nasdaq,US
ARMK,nyse,US
ARMP,amex,US
AROC,nyse,US
ARQT,nasdaq,US
ARR,nyse,US
ARRY,nasdaq,US
ARTNA,nasdaq,US
ARVN,nasdaq,US
ARWR,nasdaq,US
ARX,nyse,US
AS,nyse,US
ASA,nyse,US
ASAN,nyse,US
ASB,nyse,US
ASC,nyse,US
ASGN,nyse,US
ASH,nyse,US
ASHM.L,ftse250,EU
ASIC,nyse,US
ASIX,nyse,US
ASLE,nasdaq,US
ASM,amex,US
ASM.AS,aex,EU
ASMB,nasdaq,US
ASML,nasdaq,US
